time,latitude,longitude,speed,miles,miles_lap,rtc,millis,rpm,input_voltage,motor_watt_hours,motor_tempMosfet,motor_tempMotor,motor_current,battery_current,motor_dutyCycle,motor_error,rasp_temp,battery_ampere,battery_voltage,charge,battery_temperature,autonomy
14:50:33.390, , ,-1,0,0, ,141133,0.00,91.50,0.00,11.60,7.40,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:33.641, , ,-1,0,0, ,141522,0.00,91.50,0.00,11.60,7.60,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:33.896, , ,-1,0,0, ,141731,0.00,91.50,0.00,11.60,7.40,0.00,0.00,0.01,0,29,0.40,93.60,79.50,18.00,0
14:50:34.153, , ,-1,0,0, ,141731,0.00,91.50,0.00,11.60,7.40,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:34.408, , ,-1,0,0, ,142124,0.00,91.50,0.00,11.60,7.40,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:34.658, , ,-1,0,0, ,142329,0.00,91.50,0.00,11.60,7.60,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:34.913, , ,-1,0,0, ,142723,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:35.165, , ,-1,0,0, ,142723,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:35.416, , ,-1,0,0, ,143123,0.00,91.50,0.00,11.60,7.40,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:35.671, , ,-1,0,0, ,143340,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,28,0.50,93.60,79.50,18.00,0
14:50:35.918, , ,-1,0,0, ,143722,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:36.175, , ,-1,0,0, ,143938,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:36.430, , ,-1,0,0, ,144323,0.00,91.50,0.00,11.60,7.40,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:36.683, , ,-1,0,0, ,144536,0.00,91.50,0.00,11.60,7.60,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:36.936, , ,-1,0,0, ,144536,0.00,91.50,0.00,11.60,7.60,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:37.187, , ,-1,0,0, ,144923,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:37.438, , ,-1,0,0, ,145134,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:37.691, , ,-1,0,0, ,145523,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:37.950, , ,-1,0,0, ,145732,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:38.208, , ,-1,0,0, ,145732,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:38.463, , ,-1,0,0, ,146331,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:38.718, , ,-1,0,0, ,146331,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,29,0.40,93.60,79.50,18.00,0
14:50:38.975, , ,-1,0,0, ,146724,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:39.244, , ,-1,0,0, ,147124,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:39.496, , ,-1,0,0, ,147342,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:39.750, , ,-1,0,0, ,147342,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:40.002, , ,-1,0,0, ,147724,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:40.255, , ,-1,0,0, ,147940,0.00,91.50,0.00,11.60,7.50,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
14:50:40.510, , ,-1,0,0, ,148324,0.00,91.50,0.00,11.60,7.40,0.00,0.00,0.01,0,27,0.40,93.60,79.50,18.00,0
14:50:40.768, , ,-1,0,0, ,148538,0.00,91.50,0.00,11.60,7.40,0.00,0.00,0.01,0,28,0.40,93.60,79.50,18.00,0
